0.214058957,sd
0.571791383,hhc
0.724353741,hhc
0.914829932,hho
1.247346939,sd
1.590748299,sd
1.875736961,hhc
2.004172336,hhc
2.159455782,hho
2.509931973,sd
2.776961451,kd
3.131791383,kd
3.305941043,hhc
3.451791383,sd
3.785578231,sd
4.093968254,hho
4.449523810,hhc
4.593922902,hhc
4.768798186,hho
5.117823129,sd
5.426938776,kd
5.771609977,sd
5.913832200,sd
6.072743764,sd
6.359365079,hhc
6.689523810,hhc
7.006621315,hhc
7.167709751,hhc
7.346213152,kd
7.689433107,sd
8.349750567,hhc
8.646530612,hho
9.007891156,hhc
9.280725624,hho
9.658775510,hhc
9.901859410,hho
10.287165533,sd
10.956190476,sd
11.124535147,sd
11.267482993,hho
11.557006803,hho
12.255056689,sd
12.424852608,sd
12.574331066,hho
12.851519274,hho
13.192562358,hho
13.535056689,kd
13.850702948,sd
14.225850340,hhc
14.514648526,hho
14.871655329,kd
15.154648526,sd
15.517460317,hhc
15.798730159,hho
16.158185941,kd
16.295873016,kd
16.459138322,sd
16.942403628,hhc
17.090975057,hhc
17.442811791,hho
17.508344671,hhc
17.589750567,hhc
17.784036281,hho
18.519546485,kd
18.784852608,sd
18.950566893,hhc
19.081179138,hho
19.416689342,sd
20.068117914,hho
20.396281179,hho
21.026485261,hho
21.393832200,hhc
21.695056689,sd
22.378321995,hho
22.719546485,hhc
23.069750567,sd
23.709750567,hho
24.004444444,sd
24.158730159,hhc
24.350566893,hhc
24.659954649,hho
25.292607710,hho
25.615056689,kd
